ID_Endereco,Latitude,Longitude,Cidade,UF,Logradouro,Numero,Distancia_m
23031,-12.92480666938737,-38.52015421284633,Salvador,BA,Ladeira Emilly Cassiano,1,436.878193
23163,-16.388491559910847,-39.6009807171913,Eunápolis,BA,Morro Costa,38,200.38597
23558,-11.099406375058676,-43.145805901032396,Barra,BA,Estrada Cassiano,58,288.55026
23941,-13.019100829838115,-38.4890906835413,Salvador,BA,Viela Pires,1,314.31313
24127,-13.018725452858629,-38.48921932985056,Salvador,BA,Ladeira de Cavalcante,519,281.873717
24134,-12.945093288307513,-38.510456120233876,Salvador,BA,Condomínio Albuquerque,34,779.185089
24475,-10.870617494577205,-40.12667350770768,Ponto Novo,BA,Rua Thales da Conceição,82,251.836472
24570,-12.124063848627024,-44.98228063870335,Barreiras,BA,Quadra de Souza,221,207.920947
24688,-10.052570989393098,-38.345331145875406,Jeremoabo,BA,Trevo Monteiro,47,419.627552
24733,-12.76347675731693,-38.43135533334336,Simões Filho,BA,Ladeira de Cirino,982,694.130561
24822,-13.378917993745054,-39.089926754061494,Valença,BA,Loteamento Alexia Carvalho,30,324.809345
24937,-9.72966144180118,-41.88821719971226,Sento Sé,BA,Viaduto Lucas Fonseca,17,677.106705
25126,-10.701633294733595,-39.859311407351015,Itiúba,BA,Avenida de Machado,95,472.969146
25460,-13.694408256257152,-39.473701153495306,Wenceslau Guimarães,BA,Viela Giovanna Jesus,73,426.778963
26349,-12.785408529414584,-39.1637685900566,Conceição do Almeida,BA,Vila Rafael Sales,2,443.27875
26366,-10.49204066715359,-40.319570941659634,Campo Formoso,BA,Fazenda Nunes,18,209.266644
26665,-12.168514070086633,-45.00047543640352,Barreiras,BA,Área Yan Rezende,269,214.551165
26833,-10.405413197945206,-38.33210589786608,Antas,BA,Distrito Freitas,34,263.241377
26846,-16.470958819114532,-39.060288293277964,Porto Seguro,BA,Rua Casa Grande,62,263.046956
26924,-10.273838618322904,-40.20079114984567,Jaguarari,BA,Área de da Conceição,98,733.3376
27123,-12.479006674561962,-43.97176618142836,Brejolândia,BA,Lagoa de Caldeira,8,696.137132
27160,-13.016873293819922,-38.4909542688865,Salvador,BA,Ladeira Sophie Rodrigues,94,287.853597
27331,-17.05445061992702,-39.52734851362587,Itamaraju,BA,Lago Ramos,909,403.985209
27674,-11.860744166867217,-40.463037990597456,Mundo Novo,BA,Morro Correia,92,388.796843
27723,-12.328796520293935,-42.902584720007845,Oliveira dos Brejinhos,BA,Parque de Rocha,77,462.84505
27773,-9.335948315275113,-38.26104962266735,Glória,BA,Quadra Maria Fernanda Cunha,50,436.185522
28326,-10.515709704269018,-40.304027664397196,Campo Formoso,BA,Rodovia Mariah Caldeira,7,370.895295
28508,-13.018262930496688,-38.48940127141988,Salvador,BA,Trecho de Vasconcelos,40,248.197213
29222,-10.692348021060447,-39.846137015245375,Itiúba,BA,Lagoa Gael Pires,53,415.695413
29327,-12.587456271015116,-38.97681653805956,Cachoeira,BA,Lagoa Lorena da Costa,27,753.725947
29376,-13.85075272768653,-40.10566161134137,Jequié,BA,Loteamento da Mata,9,295.148418
29477,-12.572185277382541,-41.39564118632956,Lençóis,BA,Viela Jade Sá,77,474.616551
29609,-12.92969066400725,-38.61066254244938,Vera Cruz,BA,Jardim Enrico Dias,450,582.599333
29855,-12.033719498986208,-38.77473911781569,Irará,BA,Jardim da Mota,5,478.320143
30009,-11.754380106962783,-44.90762718168474,Riachão das Neves,BA,Feira Maria Sophia Albuquerque,92,271.11429
30140,-14.992178400504736,-39.91311754362938,Firmino Alves,BA,Trevo Marques,1,407.844627
30195,-12.960045799671025,-38.38372005880997,Salvador,BA,Travessa Benicio Siqueira,24,567.751625
30242,-12.53774278176749,-40.316412884060746,Itaberaba,BA,Residencial Luiz Otávio Jesus,39,278.104346
30318,-12.52575826355632,-40.32127301907624,Itaberaba,BA,Pátio José Pedro Andrade,6,303.744273
30367,-12.958010739311343,-38.41428604455492,Salvador,BA,Trevo de Santos,528,260.636848
30724,-13.016357997889784,-38.490471131458825,Salvador,BA,Lago Castro,77,218.503236
30968,-10.957094557732182,-41.07440021739725,Ourolândia,BA,Viela Castro,58,235.214922
31263,-13.745443980555322,-39.15900650390084,Ituberá,BA,Trecho Santos,61,424.463737
31399,-12.036473093851173,-38.777221834811456,Irará,BA,Jardim de Sampaio,82,605.843105
31652,-11.549332713410847,-39.276476500123124,Conceição do Coité,BA,Rodovia Sá,76,396.818255
31816,-13.018451349664394,-38.490281629587166,Salvador,BA,Morro Vinícius Casa Grande,476,327.540832
32399,-10.830505983992449,-42.73697545804361,Xique-Xique,BA,Avenida de Dias,47,237.445577
32850,-12.172607813797754,-39.72958624834601,Ipirá,BA,Fazenda Isabella Novais,5,255.551339
32906,-9.724705549522245,-38.129805392031884,Santa Brígida,BA,Travessa Maria Vitória da Paz,5,494.055085
32983,-14.968745535303167,-39.81463188405913,Santa Cruz da Vitória,BA,Esplanada Kaique Gomes,95,322.18788
33067,-12.31597917059588,-44.85365932205796,Catolândia,BA,Setor Esther Leão,38,253.596905
33264,-11.350612232861275,-38.336263102648815,Olindina,BA,Favela de Cunha,8,321.138865
33343,-12.00823588974794,-42.62420830613384,Brotas de Macaúbas,BA,Vila José Silveira,83,375.994333
33426,-17.560483291326328,-39.763654792190074,Teixeira de Freitas,BA,Vila de da Conceição,11,214.852537
33623,-12.56125451901603,-38.71147478551954,Santo Amaro,BA,Área de Viana,12,260.895713
33624,-13.769948713972532,-39.37896384830916,Piraí do Norte,BA,Vale Augusto Fonseca,89,656.186871
33627,-13.733993312429025,-39.496791090950396,Gandu,BA,Travessa de Souza,63,254.036223
33733,-13.691473030663916,-39.47241539437681,Wenceslau Guimarães,BA,Aeroporto das Neves,4,234.074908
34228,-12.944362936476525,-38.622635671714846,Vera Cruz,BA,Vereda Vargas,55,407.807804
34266,-13.016145156345178,-38.49114222619082,Salvador,BA,Núcleo Benjamim Aparecida,55,284.710683
34298,-16.344128676703228,-39.00289639894898,Santa Cruz Cabrália,BA,Pátio de Rodrigues,33,497.889573
34307,-12.60233456681483,-38.28361454678586,Dias d'Ávila,BA,Vila Davi Lucca Moraes,510,491.266129
34377,-12.910919080645574,-38.344391170308214,Lauro de Freitas,BA,Área José Gonçalves,218,288.687141
34479,-12.420707186008684,-39.23896641989854,Santo Estêvão,BA,Praça de Alves,958,280.770729
34594,-18.083383279279385,-39.541621782092186,Mucuri,BA,Estrada Gabriela Fonseca,85,326.372263
34602,-12.238344698444692,-38.99716666719501,Feira de Santana,BA,Loteamento Novaes,81,414.775964
34656,-13.332820236186675,-44.65197852511368,Correntina,BA,Pátio Ferreira,66,532.601478
34670,-13.01898651188452,-38.48676704101467,Salvador,BA,Vale de Sá,440,226.450482
34897,-9.193742924578853,-40.97248668553298,Casa Nova,BA,Área Novais,55,477.813113
35005,-11.601023577828546,-38.59905406929414,Sátiro Dias,BA,Condomínio Pacheco,670,269.088871
35022,-14.43906813932013,-39.91106231185862,Dário Meira,BA,Estação Sophia Vargas,93,365.280606
35155,-11.673900194468587,-39.84448872281161,Capela do Alto Alegre,BA,Área Vasconcelos,33,328.858445
35395,-12.655859500665953,-40.60158012442907,Boa Vista do Tupim,BA,Pátio Ferreira,7,215.911803
35619,-16.4572998182694,-39.056087056232904,Porto Seguro,BA,Vale Ana Laura Sales,44,542.574912
35652,-12.41760254108931,-39.24578734508621,Santo Estêvão,BA,Viaduto Olivia Garcia,225,297.602632
35876,-12.65971950203623,-38.537794028526626,Candeias,BA,Conjunto Mendes,54,230.208598
36196,-14.582587203849156,-42.9352060595997,Sebastião Laranjeiras,BA,Chácara da Paz,470,445.866294
36270,-12.293596192075585,-38.63280825920322,Teodoro Sampaio,BA,Passarela Vicente Novais,9,202.298301
36523,-12.962076002377408,-38.38892719217671,Salvador,BA,Pátio Otto Nogueira,38,518.011833
36577,-12.23698296509455,-38.99448318193956,Feira de Santana,BA,Quadra Araújo,99,320.963685
36598,-14.12692299037359,-39.72238399718898,Ipiaú,BA,Estação de Guerra,275,257.871876
36804,-14.772133568685879,-39.04340140835002,Ilhéus,BA,Feira Manuela Cavalcanti,24,896.050495
36809,-12.676645613389018,-38.29803358004278,Camaçari,BA,Praça Rael Fernandes,77,264.665871
